1629795283914,8D451D8C58BF04B8085F9C29C195,ADSB_AirbornePositionBaro,451d8c,Embraer ERJ-190,LZ-BUR
1629795284041,8D48C222234994B0CC78200E057A,ADSB_AircraftIdentification,48c222,,
1629795284170,8D451D8C9910F733900833A5866F,ADSB_AirborneVelocity,451d8c,Embraer ERJ-190,LZ-BUR
1629795284238,8D4BA749EA05F896253C0815C389,ADSB_TargetState,4ba749,Boeing 737-8GJ,TC-IZI
1629795284238,8D451D8CEA486860015F80C83CBF,ADSB_TargetState,451d8c,Embraer ERJ-190,LZ-BUR
1629795284309,8D48C22299159507F0802941124A,ADSB_AirborneVelocity,48c222,,
1629795284502,8D48C222588D2509F03C5536E4AE,ADSB_AirbornePositionBaro,48c222,,
1629795284567,8D4BA749990CAD8BF84C0EA84971,ADSB_AirborneVelocity,4ba749,Boeing 737-8GJ,TC-IZI
1629795284760,8D451D8C9910F733900833A5866F,ADSB_AirborneVelocity,451d8c,Embraer ERJ-190,LZ-BUR
1629795284893,8D451D8C58BF0146548BCD104D75,ADSB_AirbornePositionBaro,451d8c,Embraer ERJ-190,LZ-BUR
1629795284895,8D4BA749601951B22E87E0491412,ADSB_AirbornePositionBaro,4ba749,Boeing 737-8GJ,TC-IZI
1629795284960,8D48C222588D21995067682B4CF7,ADSB_AirbornePositionBaro,48c222,,
1629795284962,8D48C222EA4A5867015C0803F05E,ADSB_TargetState,48c222,,
1629795285289,8D48C22299159507F0802941124A,ADSB_AirborneVelocity,48c222,,
1629795285417,8D4B99C8EA466867DD7C08665A40,ADSB_TargetState,4b99c8,,
1629795285420,8D451D8C58BF01467A8BD8E84635,ADSB_AirbornePositionBaro,451d8c,Embraer ERJ-190,LZ-BUR
1629795285485,8D4BA749EA05F896253C0815C389,ADSB_TargetState,4ba749,Boeing 737-8GJ,TC-IZI
1629795285487,8D48C222588D319956675236548E,ADSB_AirbornePositionBaro,48c222,,
1629795285682,8D4B99C858B971E1C45FE75E9A2C,ADSB_AirbornePositionBaro,4b99c8,,
1629795285683,8D4B99C89908023AC8082FD0D5A5,ADSB_AirborneVelocity,4b99c8,,
1629795285811,8D48C22299159507F08028BEE643,ADSB_AirborneVelocity,48c222,,
1629795285814,8D4BA749601941B21C87D0FB0921,ADSB_AirbornePositionBaro,4ba749,Boeing 737-8GJ,TC-IZI
1629795285877,8D451D8CF8030002004AB8FF37F0,ADSB_AircraftOperationStatus,451d8c,Embraer ERJ-190,LZ-BUR
1629795286074,8D4BA749990CA88CD8480FF6241E,ADSB_AirborneVelocity,4ba749,Boeing 737-8GJ,TC-IZI
1629795286076,8D451D8C9910F733900833A5866F,ADSB_AirborneVelocity,451d8c,Embraer ERJ-190,LZ-BUR
1629795286078,8D48C222588D450A043C172503A2,ADSB_AirbornePositionBaro,48c222,,
1629795286142,8D4B99C858B975516233CC1BD5D0,ADSB_AirbornePositionBaro,4b99c8,,
1629795286143,8D4B99C89908023AC8082FD0D5A5,ADSB_AirborneVelocity,4b99c8,,
1629795286268,8D48C222EA4A5867015C0803F05E,ADSB_TargetState,48c222,,
1629795286334,8D4BA749601941B21287C8B9C21B,ADSB_AirbornePositionBaro,4ba749,Boeing 737-8GJ,TC-IZI
1629795286466,8D48C222F8230006004AB8BDA71C,ADSB_AircraftOperationStatus,48c222,,
1629795286470,8D4BA749990CA88CD8480FF6241E,ADSB_AirborneVelocity,4ba749,Boeing 737-8GJ,TC-IZI
1629795286471,8D451D8C58BF0146D88BF45D1FD9,ADSB_AirbornePositionBaro,451d8c,Embraer ERJ-190,LZ-BUR
1629795286596,8D48C222588D5199646727EB4042,ADSB_AirbornePositionBaro,48c222,,
1629795286599,8D4B99C8EA466867DD7C08665A40,ADSB_TargetState,4b99c8,,
1629795286732,8D451D8C2331A0B3DB38200E6095,ADSB_AircraftIdentification,451d8c,Embraer ERJ-190,LZ-BUR
1629795286796,8D48C22299159507F08028BEE643,ADSB_AirborneVelocity,48c222,,
1629795286923,8D451D8C58BF0146FA8BFE03A705,ADSB_AirbornePositionBaro,451d8c,Embraer ERJ-190,LZ-BUR
